Tsallis-q,EpRewMean,EpThisIter,explained_variance_tdlam_before,meankl,surrgain,EpisodesSoFar,TimestepsSoFar,optimgain,entropy,EpLenMean,entloss,TimeElapsed
1.0,490.1252436,8,0.9787896908819675,0.0083437385,0.007988555,1877,204800,0.007988555,7.9807377,223.6,0.0,184.85790920257568
1.0,481.4448107,8,0.9722162652760744,0.0045002936,0.010234697,1885,206848,0.010234697,7.978515,226.575,0.0,186.58674573898315
1.0,498.35636125,9,0.9825048856437206,0.008907242,0.016725201,1894,208896,0.016725201,7.978637,233.025,0.0,188.30718517303467
1.0,515.377867775,9,0.9777201768010855,0.0077289212,0.017290637,1903,210944,0.017290637,7.9775143,241.65,0.0,190.03098511695862
1.0,521.8850144749999,8,0.9790783114731312,0.011647654,0.0104937125,1911,212992,0.0104937125,7.972563,243.825,0.0,191.76362895965576
1.0,514.521763925,8,0.8853742703795433,0.0071665407,0.022306604,1919,215040,0.022306604,7.9657044,241.1,0.0,193.49202060699463
1.0,531.5161342499999,9,0.9804250355809927,0.006151364,0.012520732,1928,217088,0.012520732,7.959358,238.575,0.0,195.23659896850586
1.0,524.6146716,9,0.9722041059285402,0.014819263,0.016675258,1937,219136,0.016675258,7.9579144,238.475,0.0,196.9771511554718
1.0,519.8727359500001,9,0.9530537389218807,0.009386666,0.015983734,1946,221184,0.015983734,7.959229,233.775,0.0,198.73084902763367
1.0,527.96261205,8,0.9648037888109684,0.017582804,0.018782523,1954,223232,0.018782523,7.96167,236.65,0.0,200.48099374771118
1.0,579.0093803249999,6,0.9728686287999153,0.011867851,0.014860512,1960,225280,0.014860512,7.9610825,249.025,0.0,202.21429300308228
1.0,599.2305241,8,0.9788111168891191,0.0061378647,0.012637097,1968,227328,0.012637097,7.95862,256.8,0.0,204.27859330177307
1.0,644.652759675,6,0.969576233997941,0.0045352876,0.012583446,1974,229376,0.012583446,7.9505386,271.325,0.0,206.06062746047974
1.0,662.3348823,6,0.9760510195046663,0.008149278,0.01360118,1980,231424,0.01360118,7.9416566,284.95,0.0,208.29182386398315
1.0,715.574549875,6,0.9591568894684315,0.010324538,0.015965302,1986,233472,0.015965302,7.9347215,303.85,0.0,211.18751907348633
1.0,761.6048995,7,0.9616300575435162,0.008873051,0.01249473,1993,235520,0.01249473,7.931152,318.025,0.0,213.21143245697021
1.0,768.04557145,6,0.9787701237946749,0.0070200935,0.0109677445,1999,237568,0.0109677445,7.9334426,317.9,0.0,215.11437153816223
1.0,776.9773866749999,7,0.9471408128738403,0.008096285,0.022425476,2006,239616,0.022425476,7.934822,322.475,0.0,216.97337460517883
1.0,825.36728165,5,0.9799625277519226,0.010468306,0.015415658,2011,241664,0.015415658,7.9296856,332.3,0.0,219.24702191352844
1.0,862.4274331250001,5,0.9195786789059639,0.011167256,0.025109272,2016,243712,0.025109272,7.923925,342.05,0.0,221.57007813453674
1.0,839.7328379,7,0.9216620326042175,0.00856504,0.022684341,2023,245760,0.022684341,7.920195,333.8,0.0,224.17124962806702
1.0,820.6614865250001,6,0.9762279409915209,0.0062877545,0.013701431,2029,247808,0.013701431,7.917969,332.4,0.0,226.5878632068634
1.0,821.660595125,7,0.9598177298903465,0.0060330424,0.012918534,2036,249856,0.012918534,7.9222646,333.025,0.0,228.67790985107422
1.0,869.7257891249999,4,0.9668480157852173,0.0063950643,0.013682233,2040,251904,0.013682233,7.9250197,352.775,0.0,230.67878031730652
1.0,890.6260100250001,4,0.9687866363674402,0.008266821,0.02004618,2044,253952,0.02004618,7.9250236,362.55,0.0,232.4935748577118
1.0,880.79941545,7,0.9782582186162472,0.0077633793,0.011230441,2051,256000,0.011230441,7.9239807,359.975,0.0,234.50868725776672
1.0,878.511868575,6,0.9687046557664871,0.014754339,0.019279659,2057,258048,0.019279659,7.921899,355.175,0.0,236.59624075889587
1.0,912.131168375,5,0.9781719539314508,0.0051070973,0.013867592,2062,260096,0.013867592,7.9213576,363.6,0.0,238.42823934555054
1.0,957.69214405,4,0.9117237478494644,0.0118489275,0.019948969,2066,262144,0.019948969,7.9276047,383.425,0.0,240.54738807678223
1.0,991.475024075,5,0.9597768671810627,0.0070807324,0.0110710915,2071,264192,0.0110710915,7.9334736,399.375,0.0,242.42693948745728
1.0,975.61024155,6,0.9757031388580799,0.007660941,0.0110290535,2077,266240,0.0110290535,7.9348164,389.425,0.0,244.16581273078918
1.0,931.6207693499998,6,0.9680553078651428,0.010130061,0.017433358,2083,268288,0.017433358,7.9318843,370.725,0.0,246.05190563201904
1.0,926.793596175,7,0.9858364323154092,0.004179457,0.01157612,2090,270336,0.01157612,7.9267883,365.225,0.0,247.98929524421692
1.0,940.189092375,5,0.9725579209625721,0.005519527,0.012727693,2095,272384,0.012727693,7.9192824,371.625,0.0,249.90170192718506
1.0,934.5167649500002,5,0.981753334403038,0.009636132,0.01582456,2100,274432,0.01582456,7.9152827,368.875,0.0,251.87107682228088
1.0,905.9778919,7,0.9623148553073406,0.010316981,0.017305855,2107,276480,0.017305855,7.9137945,352.6,0.0,253.66610050201416
1.0,910.1743129250001,5,0.9805610794574022,0.004939803,0.009037441,2112,278528,0.009037441,7.9130936,350.85,0.0,255.41688418388367
1.0,923.9216733249999,5,0.9854011982679367,0.0058184387,0.01089997,2117,280576,0.01089997,7.9112315,353.75,0.0,257.46224904060364
1.0,990.2194106499999,4,0.952234074473381,0.013972854,0.019311057,2121,282624,0.019311057,7.911226,380.225,0.0,259.42990374565125
1.0,1057.8992486749999,3,0.965304534882307,0.0072896658,0.01560083,2124,284672,0.01560083,7.912377,403.825,0.0,261.4015429019928
1.0,1070.955127575,6,0.9822053648531437,0.0077384114,0.01271472,2130,286720,0.01271472,7.9129577,406.925,0.0,263.5822534561157
1.0,1075.39075835,6,0.9804827775806189,0.008317899,0.009950065,2136,288768,0.009950065,7.9134502,403.875,0.0,265.613737821579
1.0,1056.9342031249998,6,0.9811761826276779,0.0040549887,0.009618651,2142,290816,0.009618651,7.9118347,396.675,0.0,267.6577236652374
1.0,1059.9221390750001,6,0.9863292891532183,0.0054652127,0.010292649,2148,292864,0.010292649,7.903222,396.0,0.0,269.6123809814453
1.0,1028.3742771500001,6,0.9818209614604712,0.0055222935,0.012595667,2154,294912,0.012595667,7.890862,384.0,0.0,271.6711847782135
1.0,963.0187993,7,0.9821424055844545,0.0057204645,0.012721487,2161,296960,0.012721487,7.8769226,359.475,0.0,273.53052616119385
1.0,919.7873691500001,5,0.9756354130804539,0.009294931,0.011153,2166,299008,0.011153,7.8709426,343.5,0.0,275.28767251968384
1.0,918.56043815,6,0.9872535392642021,0.0057149264,0.013276646,2172,301056,0.013276646,7.865722,341.875,0.0,277.2487795352936
1.0,910.6057027999999,4,0.969203257933259,0.0063880263,0.013055732,2176,303104,0.013055732,7.859404,339.625,0.0,279.63105273246765
1.0,940.1152399250001,6,0.9834919851273298,0.007243075,0.011393359,2182,305152,0.011393359,7.8590336,353.6,0.0,281.7636694908142
